dataset,pixel_id,lat,lon,n_events,variance_full_series,ac1_full_series,lambda_ar1_full_series
MODIS,0,45.375,-123.125,0,0.0027471611150145557,0.4325097877150297,0.8380656698803676
MODIS,1,45.625,-122.375,0,0.002364784704572809,0.4363221386491916,0.8286743788721448
MODIS,2,45.875,-122.375,0,0.0026921476319163953,0.6009512013968324,0.5148522359826196
MODIS,3,46.375,-122.375,0,0.0011489998837329305,0.4489643107911547,0.800658489198906
MODIS,4,45.875,-121.125,0,0.0015975045923527853,0.33938332627578344,1.0834701829662845
MODIS,5,47.125,-122.125,0,0.002148179723183087,0.4872830995684592,0.7195427758633973
MODIS,6,47.375,-121.875,0,0.0016255279224359064,0.4540046906891062,0.7889954777510318
MODIS,7,47.875,-122.875,0,0.004560817602725733,0.6043111895634592,0.5037683584101998
MODIS,8,49.125,-125.625,0,0.0006623185392937329,0.2633878275417552,1.3339909046473641
MODIS,9,49.125,-123.875,0,0.002773144550981094,0.47928060267224154,0.7347421499537392
MODIS,10,49.375,-122.625,0,0.0031193753919447056,0.4995264209278498,0.6935391757458398
VODCA,0,45.375,-123.125,1,0.00041580719951813327,0.3714058352135654,0.9900239785040084
VODCA,1,45.625,-123.375,1,0.0014015499434417644,0.2176782365717314,1.5247332728674057
VODCA,2,45.875,-123.375,1,0.00046707995260640453,0.08621418165869202,2.450982937772602
VODCA,3,45.875,-117.125,0,0.0050681494346875595,0.5987719155037198,0.5133725013542203
VODCA,4,46.125,-122.625,1,8.084467242013807e-05,0.2723032131114611,1.300581863109384
VODCA,5,46.625,-122.125,0,0.0001222483924085611,0.2562604398401635,1.3615748134642263
VODCA,6,46.875,-123.375,1,0.0009985875901606163,0.261600933584061,1.3410611285737428
VODCA,7,47.375,-123.875,1,0.00041824303839498364,0.027203035834225373,3.604071353043073
VODCA,8,47.625,-121.875,1,0.0001429383183069912,-0.0006670596226093593,
VODCA,9,47.625,-116.125,1,0.0037379537327401325,0.5851764977370494,0.5320688466678944
VODCA,10,45.125,-88.375,1,0.0021244061993741957,0.48514284516778944,0.6347719589216378
VODCA,11,45.875,-89.375,0,8.693594233745945e-05,0.025381420643239744,3.6644065976380134
VODCA,12,45.875,-89.125,0,0.00020793811074233754,0.0038979320134509697,5.546447112388514
